2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
48050,Victor Harbor (C),13843.05906,939.9547657,206,4,37,SA,27,4,NA,858.9354812,1062.421846,0
48130,Wakefield (DC),6663.40966,929.5978989,158,3,28,SA,22,4,NA,823.1445517,1041.456741,0
48260,Walkerville (M),7008,1133.727015,536,10,95,SA,69,10,NA,1052.135868,1206.056644,0
48340,Wattle Range (DC),11632.11322,900.3399702,54,1,10,SA,10,2,NA,751.7081434,1094.682171,0
48410,West Torrens (C),54932.00285,1023.401698,463,9,82,SA,62,9,NA,920.2671162,1120.499575,0.000145668
48540,Whyalla (C),22069.77401,888.3597496,37,1,7,SA,5,1,NA,738.5951045,1166.502055,0.000317176
48640,Wudinna (DC),1255.766205,1000.030483,427,8,76,SA,56,8,NA,969.4871706,1087.537168,0
48750,Yankalilla (DC),4406.247685,964.605678,311,6,56,SA,39,6,NA,855.6934533,1056.341359,0
48830,Yorke Peninsula (DC),11045.98895,941.6669562,216,4,39,SA,28,4,NA,739.9140235,1049.681475,0
49399,Unincorporated SA,4433.347174,927.9715039,148,3,27,SA,21,3,NA,721.978006,1133.145745,0.014591196
50080,Albany (C),33614.00901,956.4509662,281,5,50,WA,52,4,38,809.5424808,1120.579201,0.011007315
50210,Armadale (C),62295,935.5666812,189,4,34,WA,28,3,21,808.5388727,1123.258474,0
50250,Ashburton (S),9994.957951,942.2115232,221,4,40,WA,35,3,26,900.3741864,966.0971771,0.404299645
50280,Augusta-Margaret River (S),11763.001,998.029537,424,8,76,WA,97,7,70,915.588598,1072.064914,0.000765111
50350,Bassendean (T),14404,1009.464951,450,8,80,WA,106,8,76,923.2187456,1104.754909,0.000208276
50420,Bayswater (C),61234,1029.266527,469,9,84,WA,112,9.00E+00,81,9.24E+02,1174.429849,4.89924E-05
50490,Belmont (C),35185.99055,992.916146,406,8,72,WA,87,7,63,910.1286199,1131.288294,0.001562853
50560,Beverley (S),1565,967.7200084,328,6,59,WA,66,5,48,799.9413799,1064.324894,0
50630,Boddington (S),2226,942.2129789,222,4,40,WA,36,3,26,844.5238279,996.7330786,0
50770,Boyup Brook (S),1586,992.7800842,403,8,72,WA,85,7,61,897.4617633,1103.729905,0
50840,Bridgetown-Greenbushes (S),4333,961.295706,294,6,53,WA,54,4,39,861.0067296,1029.792715,0
50910,Brookton (S),937,962.3244862,302,6,54,WA,57,5,41,885.8119296,1068.700362,0
50980,Broome (S),15010.80364,995.8541644,415,8,74,WA,92,7,66,859.1525201,1119.244488,0.000266475
51080,Broomehill-Tambellup (S),1144.999003,1015.114007,458,9,82,WA,110,8,79,922.2115324,1099.824441,0
51120,Bruce Rock (S),973,986.172842,390,7,70,WA,83,6,60,896.0679529,1114.765488,0
51190,Bunbury (C),31340.99701,925.3149744,135,3,24,WA,19,2,14,754.4666442,1110.140544,0.01107176
51260,Busselton (S),30337.20797,963.6664604,309,6,55,WA,61,5,44,831.6784763,1109.741155,0.000428517
51310,Cambridge (T),24972.56621,1170.190237,553,10,98,WA,134,10,96,978.1543434,1212.804488,0.003123428
51330,Canning (C),85499.04991,1046.571518,482,9,86,WA,118,9,85,816.8345433,1187.76379,0.00018772
51400,Capel (S),14624.79203,981.8271633,376,7,67,WA,77,6,56,859.1033053,1108.389775,0
51470,Carnamah (S),540.9980123,969.0420325,331,6,59,WA,67,5,48,879.9113466,1103.226134,0
51540,Carnarvon (S),5785.995077,936.6460377,191,4,34,WA,30,3,22,588.7260108,1051.258389,0
51610,Chapman Valley (S),1166.603852,1004.600007,437,8,78,WA,102,8,73,936.3115606,1070.631832,0
51680,Chittering (S),4426,961.7531857,298,6,53,WA,56,5,41,895.2728312,1057.656536,0
51750,Claremont (T),9280.288824,1178.981589,557,10,99,WA,135,10,97,1104.626391,1240.66514,0
51820,Cockburn (C),89642.00099,998.0235777,423,8,75,WA,96,7,69,848.2020574,1238.999379,0.00284466
51890,Collie (S),9117,862.409267,22,1,4,WA,2,1,2,770.235438,919.3534466,0.001974334
51960,Coolgardie (S),3992.388196,864.1403267,23,1,5,WA,3,1,3,763.0473188,928.660026,0
52030,Coorow (S),1069.001988,951.2786453,253,5,45,WA,42,4,31,854.3344017,1132.273794,0
