2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
20570,Ballarat (C),93516.86634,969.0343108,297,6,53,VIC,30,4,NA,567.3603337,1171.880794,0.003528775
20660,Banyule (C),118281.999,1044.181871,494,9,88,VIC,67,9,NA,772.7271134,1175.391709,0.002908304
20740,Bass Coast (S),29637.73379,959.7539758,254,5,45,VIC,24,3,NA,798.290001,1092.188425,0
20830,Baw Baw (S),42901.81577,983.451795,359,7,64,VIC,45,6,NA,767.9220961,1105.610408,0.001002289
20910,Bayside (C),91855,1107.971094,548,10,97,VIC,79,10,NA,817.0099261,1177.155322,4.35469E-05
21010,Benalla (RC),13672.35371,944.5976879,211,4,38,VIC,18,3,NA,613.6889241,1070.763384,0.000219421
21110,Boroondara (C),159134.007,1114.295245,551,10,98,VIC,80,10,NA,952.7526125,1205.292654,0
21180,Brimbank (C),182703,931.5015536,143,3,26,VIC,9,2,NA,751.8899037,1125.538874,0.000311982
21270,Buloke (S),6372.041905,950.695662,232,5,42,VIC,22,3,NA,881.7794659,1046.540902,0
21370,Campaspe (S),36348.06073,947.0728658,222,4,40,VIC,20,3,NA,707.3387806,1072.224219,0
21450,Cardinia (S),74173.65702,1008.23892,429,8,76,VIC,57,8,NA,820.969951,1128.548341,0.000539275
21610,Casey (C),252347,997.4297309,404,8,72,VIC,52,7,NA,752.0828351,1156.487108,4.35908E-05
21670,Central Goldfields (S),12495.00767,887.8976732,57,2,11,VIC,1,1,NA,642.5473989,1013.219291,0
21750,Colac-Otway (S),20356.99759,946.4769151,218,4,39,VIC,19,3,NA,715.6303661,1062.919705,0
21830,Corangamite (S),16385.65085,970.4093052,304,6,54,VIC,34,5,NA,750.3090117,1059.652977,0
21890,Darebin (C),136470,994.8469703,399,8,71,VIC,50,7,NA,698.5769806,1174.921103,0.010192716
22110,East Gippsland (S),42208.72471,942.2136341,192,4,34,VIC,14,2,NA,625.5960664,1054.039954,0.000162246
22170,Frankston (C),126467,982.7999008,354,7,63,VIC,43,6,NA,734.9161972,1168.33663,0.001771213
22250,Gannawarra (S),10351.72096,940.3968204,186,4,33,VIC,13,2,NA,786.6524983,1088.172526,0
22310,Glen Eira (C),131002,1073.792011,523,10,93,VIC,74,10,NA,944.2315739,1184.573167,0
22410,Glenelg (S),19555.29237,943.4395882,200,4,36,VIC,17,3,NA,776.7536863,1101.643747,0
22490,Golden Plains (S),18768,1011.075736,436,8,78,VIC,58,8,NA,902.1102571,1121.220058,0
22620,Greater Bendigo (C),100547.3196,967.3457408,289,6,52,VIC,29,4,NA,610.9731274,1116.80757,0.000377932
22670,Greater Dandenong (C),135581,905.1698401,74,2,14,VIC,2,1,NA,728.6321268,1104.290744,0.002057811
22750,Greater Geelong (C),210919.6034,980.369757,345,7,62,VIC,39,5,NA,651.5775187,1159.129,0.008069425
22830,Greater Shepparton (C),60490.58294,942.3728272,193,4,35,VIC,15,2,NA,699.6245739,1115.001561,0
22910,Hepburn (S),14355.55866,967.1079149,288,6,51,VIC,28,4,NA,860.6809456,1051.286828,0
22980,Hindmarsh (S),5799.547136,928.8982185,131,3,24,VIC,6,1,NA,798.9173983,1077.086052,0
23110,Hobsons Bay (C),83866.9596,999.9155658,409,8,73,VIC,54,7,NA,561.3284692,1159.58676,0.000453099
23190,Horsham (RC),19273.16067,970.800622,307,6,55,VIC,35,5,NA,655.8409922,1085.076882,0
23270,Hume (C),167497,950.2795311,230,5,41,VIC,21,3,NA,488.1177562,1153.337462,0.000716431
23350,Indigo (S),15209.07875,997.1465649,403,8,72,VIC,51,7,NA,868.3148759,1089.257501,0
23430,Kingston (C),142471,1033.782514,477,9,85,VIC,63,8,NA,776.9901865,1171.207954,0.002807589
23670,Knox (C),149334.2279,1038.980816,486,9,87,VIC,65,9,NA,753.8612068,1187.752032,0.007982095
23810,Latrobe (C),72392.77092,929.1537793,132,3,24,VIC,7,1,NA,554.107963,1118.410167,0.003992111
23940,Loddon (S),7460.062349,925.5262632,122,3,22,VIC,4,1,NA,798.8843745,1055.337397,0
24130,Macedon Ranges (S),41842.05061,1046.848135,499,9,89,VIC,68,9,NA,771.2272788,1142.682103,0.000262893
24210,Manningham (C),111311.9916,1081.468844,528,10,94,VIC,76,10,NA,969.6872777,1188.838868,0.000125773
24250,Mansfield (S),7891.897643,991.6736575,388,7,69,VIC,47,6,NA,902.5169733,1086.332673,0.00038078
24330,Maribyrnong (C),71656,988.4285062,378,7,67,VIC,46,6,NA,686.1892168,1137.240005,0.000195378
24410,Maroondah (C),103880,1034.280298,479,9,85,VIC,64,8,NA,803.6788932,1186.604184,0.004447439
24600,Melbourne (C),93607.99324,1050.959911,507,9,90,VIC,70,9,NA,537.1348126,1170.811939,0.021226812
24650,Melton (S),109296,993.0802477,392,7,70,VIC,48,6,NA,778.1468201,1115.98042,0.008335163
24780,Mildura (RC),50997,924.0658924,117,3,21,VIC,3,1,NA,569.2590538,1092.790284,0.000254917
24850,Mitchell (S),34620.8231,979.0253258,339,7,61,VIC,38,5,NA,738.7684168,1119.957799,0
24900,Moira (S),28140,936.2715159,167,3,30,VIC,10,2,NA,720.9724988,1056.798167,0.00010661
24970,Monash (C),169268,1053.659888,509,10,91,VIC,71,9,NA,866.8361707,1187.267692,0.004944821
25060,Moonee Valley (C),107469.007,1030.540949,471,9,84,VIC,62,8,NA,492.0731481,1149.005112,0.000102355
25150,Moorabool (S),28142.17292,994.7128685,398,8,71,VIC,49,7,NA,796.6505678,1094.719773,0
25250,Moreland (C),147328.999,999.812548,408,8,73,VIC,53,7,NA,755.2243378,1121.439885,5.43002E-05
25340,Mornington Peninsula (S),144621,1011.433004,438,8,78,VIC,59,8,NA,731.2873186,1165.831521,0.000214353
25430,Mount Alexander (S),17604.55981,969.8620753,301,6,54,VIC,32,4,NA,853.8441748,1075.371773,0.022721386
