2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
46450,Port Pirie City and Dists (,17359.87576,914.110516,59,2,11,SA,9,2,NA,721.6317371,1101.571229,0.000230416
46510,Prospect (C),19950,997.2775652,357,7,64,SA,48,7,NA,877.71296,1115.059971,0
46670,Renmark Paringa (DC),9231,943.422715,107,2,19,SA,16,3,NA,766.3383895,1041.607829,0.000433323
46860,Robe (DC),1399,1013.996017,428,8,76,SA,57,8,NA,981.7707045,1064.00515,0
46970,Roxby Downs (M),4694,1065.932651,532,10,95,SA,70,10,NA,1016.453961,1096.569982,0.095014913
47140,Salisbury (C),129066.7199,960.0576162,158,3,28,SA,21,3,NA,704.6486788,1183.60328,0.002239152
47290,Southern Mallee (DC),2097.000625,995.5140484,352,7,63,SA,46,7,NA,923.9404774,1072.725358,0
47490,Streaky Bay (DC),2109.900051,978.6484046,263,5,47,SA,35,5,NA,936.9299849,1006.99103,0
47630,Tatiara (DC),6559,1012.933867,424,8,76,SA,56,8,NA,893.5034906,1106.749827,0
47700,Tea Tree Gully (C),95461.1107,1026.322911,461,9,82,SA,59,9,NA,862.8560071,1198.276643,0.004724437
47800,The Coorong (DC),5519.997384,965.6347135,189,4,34,SA,25,4,NA,649.6949966,1041.086159,0
47910,Tumby Bay (DC),2572.982195,988.6547181,316,6,56,SA,40,6,NA,898.7048289,1096.087102,0
47980,Unley (C),36813,1012.910478,423,8,75,SA,55,8,NA,831.535299,1114.226771,0
48050,Victor Harbor (C),13843.05906,974.4160325,241,5,43,SA,33,5,NA,838.3635437,1129.561407,0
48130,Wakefield (DC),6663.40966,972.6787744,229,5,41,SA,30,5,NA,879.053107,1089.895836,0
48260,Walkerville (M),7008,1028.544517,469,9,84,SA,61,9,NA,912.923566,1155.279469,0
48340,Wattle Range (DC),11632.11322,968.5380501,205,4,37,SA,26,4,NA,781.9542203,1091.052495,0
48410,West Torrens (C),54932.00285,949.0343584,126,3,23,SA,18,3,NA,775.0960154,1120.857838,0.000145668
48540,Whyalla (C),22069.77401,904.5504938,54,1,10,SA,6,1,NA,681.2706264,1146.383126,0.000317176
48640,Wudinna (DC),1255.766205,1007.87963,403,8,72,SA,53,8,NA,987.3446101,1121.292833,0
48750,Yankalilla (DC),4406.247685,989.5225783,320,6,57,SA,41,6,NA,920.8084775,1066.29487,0
48830,Yorke Peninsula (DC),11045.98895,968.5541511,206,4,37,SA,27,4,NA,490.7553625,1066.59667,0
49399,Unincorporated SA,4433.347174,911.3564057,56,1,10,SA,7,1,NA,584.6116803,1121.292833,0.014591422
50080,Albany (C),33614.00901,998.7014892,362,7,65,WA,66,5,48,791.1112997,1162.943315,0.011007315
50210,Armadale (C),62295,1035.095606,485,9,86,WA,107,8,77,771.283232,1221.196459,0
50250,Ashburton (S),9994.957951,994.4867884,345,7,62,WA,62,5,45,888.9714042,1039.766401,0.404299645
50280,Augusta-Margaret River (S),11763.001,1028.433293,468,9,83,WA,101,8,73,854.2588324,1115.342627,0.000765111
50350,Bassendean (T),14404,999.0629397,363,7,65,WA,67,5,48,912.450632,1085.358473,0.000208276
50420,Bayswater (C),61234,1005.189941,393,7,70,WA,77,6,56,7.87E+02,1179.248999,4.89924E-05
50490,Belmont (C),35185.99055,969.9910891,218,4,39,WA,33,3,24,801.2979466,1095.848984,0.001562853
50560,Beverley (S),1565,987.0844018,305,6,54,WA,50,4,36,901.9392188,1071.424341,0
50630,Boddington (S),2226,1063.81916,529,10,94,WA,123,9,88,964.5436483,1116.135937,0
50770,Boyup Brook (S),1586,1015.054771,433,8,77,WA,91,7,66,930.822637,1070.70918,0
50840,Bridgetown-Greenbushes (S),4333,1003.266627,386,7,69,WA,74,6,53,903.4416788,1097.154511,0
50910,Brookton (S),937,981.8341937,279,5,50,WA,43,4,31,922.2638608,1064.655192,0
50980,Broome (S),15010.80364,931.8114188,87,2,16,WA,15,2,11,569.594091,1137.669154,0.000266475
51080,Broomehill-Tambellup (S),1144.999003,991.7774948,332,6,59,WA,57,5,41,881.0248782,1082.094629,0
51120,Bruce Rock (S),973,976.1285056,251,5,45,WA,36,3,26,926.5048076,1078.782014,0
51190,Bunbury (C),31340.99701,979.8922859,267,5,48,WA,39,3,28,752.5757665,1157.606076,0.01107176
51260,Busselton (S),30337.20797,1030.908553,477,9,85,WA,104,8,75,849.3599793,1187.503481,0.000428517
51310,Cambridge (T),24972.56621,1103.779103,555,10,99,WA,135,10,97,910.9249153,1190.403539,0.003123428
51330,Canning (C),85499.04991,1025.440189,456,9,81,WA,96,7,69,610.8024343,1213.108462,0.00018772
51400,Capel (S),14624.79203,1085.119894,549,10,98,WA,131,10,94,937.7782298,1200.192963,0
51470,Carnamah (S),540.9980123,1003.0291,383,7,68,WA,73,6,53,974.7179235,1070.061637,0
51540,Carnarvon (S),5785.995077,942.2364139,105,2,19,WA,21,2,16,511.4807396,1117.552742,0
51610,Chapman Valley (S),1166.603852,1048.196951,511,10,91,WA,115,9,83,1013.047677,1088.235229,0
51680,Chittering (S),4426,1104.69134,556,10,99,WA,136,10,98,996.7119829,1176.670864,0
51750,Claremont (T),9280.288824,1053.828313,520,10,93,WA,118,9,85,919.653422,1141.376352,0
51820,Cockburn (C),89642.00099,1066.292635,533,10,95,WA,125,9,90,852.0740681,1280.885656,0.00284466
51890,Collie (S),9117,1008.496443,407,8,73,WA,80,6,58,840.008078,1131.954985,0.001974334
51960,Coolgardie (S),3992.388196,976.1756836,252,5,45,WA,37,3,27,565.0581896,1027.496995,0.007263823
52030,Coorow (S),1069.001988,1000.733232,373,7,67,WA,70,6,51,935.6717731,1098.086856,0
52100,Corrigin (S),1067,983.0794014,286,6,51,WA,45,4,33,858.6762649,1075.938612,0
52170,Cottesloe (T),7598,1073.045694,540,10,96,WA,128,10,92,904.7164544,1147.686902,0
52240,Cranbrook (S),1079.000997,990.0853344,323,6,58,WA,55,4,40,903.6083725,1082.094629,0
52310,Cuballing (S),866,1026.006579,460,9,82,WA,99,8,71,1019.135103,1043.542369,0
52380,Cue (S),269,857.8283387,39,1,7,WA,9,1,7,842.5945538,937.8942779,0
52450,Cunderdin (S),1305,994.1960305,341,7,61,WA,60,5,43,972.5211094,1036.716227,0
52520,Dalwallinu (S),1265,1031.299917,478,9,85,WA,105,8,76,918.5299131,1082.878761,0
52590,Dandaragan (S),3191,1026.847506,465,9,83,WA,100,8,72,909.1721008,1138.737861,0
52660,Dardanup (S),12397.01097,1067.278732,534,10,95,WA,126,10,91,774.8557821,1141.334003,0
52730,Denmark (S),5197,987.6843584,311,6,56,WA,51,4,37,801.4687606,1095.62918,0
52800,Derby-West Kimberley (S),8455.273063,765.6569519,33,1,6,WA,6,1,5,464.2483714,1075.481556,0.196445459
52870,Donnybrook-Balingup (S),5317,1035.474802,486,9,87,WA,108,8,78,887.8229559,1110.425113,0
52940,Dowerin (S),679,995.4232814,349,7,62,WA,63,5,46,937.9107631,1065.52841,0
53010,Dumbleyung (S),607,1005.036485,391,7,70,WA,76,6,55,915.2691872,1049.148178,0
53080,Dundas (S),1145,922.2504199,70,2,13,WA,13,1,10,895.8864615,977.1490163,0
53150,East Fremantle (T),6925,1070.027979,537,10,96,WA,127,10,91,990.8666415,1129.04685,0
53220,East Pilbara (S),11940,935.1713846,90,2,16,WA,16,2,12,558.3602215,1067.755356,0.41038526
53290,Esperance (S),13449,1007.041649,401,8,71,WA,78,6,56,797.5743773,1125.370618,0.000223065
53360,Exmouth (S),2386.003078,1008.323579,406,8,72,WA,79,6,57,9.73E+02,1074.142452,1.29002E-06
53430,Fremantle (C),26562,982.8576107,285,6,51,WA,44,4,32,612.9250832,1105.738455,0.000112943
53520,Geraldton-Greenough (C),36451.39615,997.893436,359,7,64,WA,64,5,46,769.1248143,1158.792697,0.000329206
53570,Gingin (S),4678,1036.950212,490,9,87,WA,110,8,79,958.1690981,1094.412716,0
53640,Gnowangerup (S),1274,999.4567801,366,7,65,WA,68,5,49,922.844185,1077.80494,0
53710,Goomalling (S),985,988.4112536,315,6,56,WA,53,4,38,928.503849,1057.063312,0
53780,Gosnells (C),106582,1040.263315,498,9,89,WA,113,9,81,775.2106977,1217.124433,0.007280779
53920,Halls Creek (S),3562.849017,637.2910414,23,1,5,WA,2,1,2,434.5901636,829.7460428,0
53990,Harvey (S),23228.99202,1059.069564,525,10,93,WA,120,9,86,774.8557821,1191.003723,0
54060,Irwin (S),3568,1003.305146,387,7,69,WA,75,6,54,915.6193149,1078.16471,0
54130,Jerramungup (S),1062.976943,1030.093127,474,9,84,WA,102,8,73,950.766476,1077.175465,0.003749798
54170,Joondalup (C),152389.001,1104.794825,557,10,99,WA,137,10,98,865.3743577,1249.960397,0.000118119
